date,USD,KZT,BYR,UAH,EUR
2003-01,31.8222,0.205551,0.016253,5.94141,34.4443
2003-02,31.5762,0.208133,0.015991,5.89405,34.0549
2003-03,31.3805,0.206599,0.0157,5.85315,33.5865
2003-04,31.1,0.204574,0.015335,5.76898,34.1447
2003-05,30.709,0.204125,0.015008,5.63882,36.4669
2003-06,30.3483,0.205268,0.014696,5.64399,34.7124
2003-07,30.2596,0.206221,0.014563,5.64713,34.6291
2003-08,30.5036,0.206829,0.014517,5.67055,33.2001
2003-09,30.6119,0.205337,0.014484,5.68318,35.0751
2003-10,29.8584,0.201824,0.01399,5.54011,34.8657
2003-11,29.7387,0.202809,0.013843,5.51687,35.5021
2003-12,29.4545,0.204613,0.013599,5.48164,36.824
2004-01,28.4937,0.204323,0.013192,5.27896,35.3635
2004-02,28.5156,0.205098,0.013233,5.2939,35.5076
2004-03,28.4853,0.205231,0.01325,5.28857,34.8005
2004-04,28.8834,0.20878,0.013388,5.38678,34.1431
2004-05,28.985,0.211113,0.01344,5.43584,35.6052
2004-06,29.0274,0.212817,0.01344,5.43025,35.2915
2004-07,29.1019,0.213478,0.013455,5.455,35.0532
2004-08,29.2447,0.214045,0.013521,5.47428,35.1463
2004-09,29.2171,0.217297,0.013453,5.43301,35.9896
2004-10,28.7655,0.217885,0.013208,5.34595,36.6472
2004-11,28.2367,0.217077,0.012947,5.27976,37.4165
2004-12,27.7487,0.213421,0.012751,5.1229,37.8104
2005-01,28.0845,0.215678,0.012898,5.27389,36.625
2005-02,27.7738,0.213344,0.01284,5.24697,36.6281
2005-03,27.8256,0.21068,0.012904,5.31733,36.0564
2005-04,27.7726,0.211391,0.012899,5.46974,36.0072
2005-05,28.0919,0.211756,0.013059,5.53459,35.1963
2005-06,28.6721,0.212095,0.013324,5.68395,34.5241
2005-07,28.6341,0.210728,0.013317,5.6852,34.716
2005-08,28.545,0.211069,0.013261,5.65729,34.8763
2005-09,28.4989,0.212964,0.013234,5.58999,34.3811
2005-10,28.4244,0.212217,0.013214,5.52735,34.53
2005-11,28.7312,0.214305,0.01336,5.65219,33.989
